Event,TouchPoint,unique_input_json,diff_keys_vs_global,step 1 op,step 2 op,step 3 op,step 4 op,step 5 op,flow
bulkAddStylesToList,List (FONTLIST),"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
}",listId,createAsset,bulkAddStylesToList,,,,createAsset → bulkAddStylesToList
bulkCopyAssets,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkCopyAssets,,,,,bulkCopyAssets
bulkDeactivateLists,List (FONTLIST),"{
  ""lists"": [
    {
      ""id"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
    }
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""lists""]",createAsset,bulkDeactivateLists,,,,createAsset → bulkDeactivateLists
bulkDeactivateLists,Project,"{
  ""lists"": [
    {
      ""id"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
    }
  ],
  ""deactivationType"": ""PERMANENT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""deactivationType"", ""lists"", ""projectId""]",createProject,createAsset,bulkDeactivateLists,,,createProject → createAsset → bulkDeactivateLists
bulkDeactivateStyles,Discovery/Browse (global),"{
  ""styles"": [
    {
      ""id"": ""920374778""
    }
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""styles""]",bulkDeactivateStyles,,,,,bulkDeactivateStyles
bulkDeactivateStyles,Project,"{
  ""styles"": [
    {
      ""id"": ""920374778""
    }
  ],
  ""deactivationType"": ""PERMANENT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""deactivationType"", ""projectId"", ""styles""]",createProject,bulkDeactivateStyles,,,,createProject → bulkDeactivateStyles
bulkMarkAsProductionFontsRequest,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkMarkAsProductionFontsRequest,,,,,bulkMarkAsProductionFontsRequest
bulkMoveAssets,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkMoveAssets,,,,,bulkMoveAssets
bulkNotificationAction,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkNotificationAction,,,,,bulkNotificationAction
bulkRemovePairsFromFavorite,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkRemovePairsFromFavorite,,,,,bulkRemovePairsFromFavorite
bulkRemoveStylesFromFavourites,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkRemoveStylesFromFavourites,,,,,bulkRemoveStylesFromFavourites
bulkRemoveStylesFromList,List (FONTLIST),"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
}",listId,createAsset,bulkRemoveStylesFromList,,,,createAsset → bulkRemoveStylesFromList
bulkTagStyles,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkTagStyles,,,,,bulkTagStyles
bulkUnmarkProductionFont,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkUnmarkProductionFont,,,,,bulkUnmarkProductionFont
bulkUntagStyles,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkUntagStyles,,,,,bulkUntagStyles
bulkUpdatePreferences,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkUpdatePreferences,,,,,bulkUpdatePreferences
bulkUpdateProfiles,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkUpdateProfiles,,,,,bulkUpdateProfiles
cancelBatch,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),cancelBatch,,,,,cancelBatch
completeUploadSession,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}""
}",documentId,completeUploadSession,,,,,completeUploadSession
createAsset,Discovery/Browse (global),"{
  ""name"": ""QA_TouchPoint_List_1784123062"",
  ""assetType"": ""FontList"",
  ""accessRight"": ""FullAccess""
}",global (no list/project/document scope),createAsset,,,,,createAsset
createAssetAttachmentUpload,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createAssetAttachmentUpload,,,,,createAssetAttachmentUpload
createBYOFBatchAndCheckDuplicates,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createBYOFBatchAndCheckDuplicates,,,,,createBYOFBatchAndCheckDuplicates
createCompanyLogoUploadUrl,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createCompanyLogoUploadUrl,,,,,createCompanyLogoUploadUrl
createContract,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createContract,,,,,createContract
createContract,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,createContract,,,,createProject → createContract
createCustomer,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createCustomer,,,,,createCustomer
createPrivateTags,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createPrivateTags,,,,,createPrivateTags
createProject,Project,"{
  ""name"": ""QA_TouchPoint_Project_1784123062"",
  ""description"": ""QA TouchPoint sheet seed project"",
  ""allowFontAdditionsByCollaborators"": false,
  ""allowFontDownloadsByCollaborators"": false,
  ""allowFontImportsByCollaborators"": false,
  ""enableProjectLevelImportedFonts"": false,
  ""autoActivateFontsForMembers"": false
}",projectId,createProject,createProject,,,,createProject → createProject
createRole,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createRole,,,,,createRole
createServiceAccount,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createServiceAccount,,,,,createServiceAccount
createSsoMapping,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createSsoMapping,,,,,createSsoMapping
createStyleDocumentsUploadUrl,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createStyleDocumentsUploadUrl,,,,,createStyleDocumentsUploadUrl
createStyleDocumentsUploadUrl,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,createStyleDocumentsUploadUrl,,,,createProject → createStyleDocumentsUploadUrl
createTeam,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createTeam,,,,,createTeam
createUploadSession,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}""
}",documentId,createUploadSession,,,,,createUploadSession
createUserInvitations,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),createUserInvitations,,,,,createUserInvitations
createWebProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,createWebProject,,,,createProject → createWebProject
deActivateFontProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""projectId""]",createProject,addFontProjectFamilies,deActivateFontProject,,,createProject → addFontProjectFamilies → deActivateFontProject
deActivateList,List (FONTLIST),"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""listType"": ""FONTLIST"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listId"", ""listType""]",createAsset,addFontListFamilies,deActivateList,,,createAsset → addFontListFamilies → deActivateList
deActivateList,Favourite,"{
  ""listType"": ""FAVORITE"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listType""]",addFavoriteFamilies,deActivateList,,,,addFavoriteFamilies → deActivateList
deActivateList,Project > List,"{
  ""listId"": ""210ad1c8-b742-49e4-9074-4be65d4be610"",
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listId"", ""listType"", ""projectId""]",createProject,createAsset,addFontListFamilies,deActivateList,,createProject → createAsset → addFontListFamilies → deActivateList
deactivateFamilies,Discovery/Browse (global),"{
  ""familyIds"": [
    ""910130168""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""familyIds""]",deactivateFamilies,,,,,deactivateFamilies
deactivateFamilies,List (FONTLIST),"{
  ""familyIds"": [
    ""910130168""
  ],
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""familyIds"", ""listIds"", ""listType""]",createAsset,addFontListFamilies,deactivateFamilies,,,createAsset → addFontListFamilies → deactivateFamilies
deactivateFamilies,Favourite,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""listType"": ""FAVORITE"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""familyIds"", ""listType""]",addFavoriteFamilies,deactivateFamilies,,,,addFavoriteFamilies → deactivateFamilies
deactivateFamilies,Project,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""familyIds"", ""listIds"", ""listType"", ""projectId""]",createProject,addFontProjectFamilies,deactivateFamilies,,,createProject → addFontProjectFamilies → deactivateFamilies
deactivateFamilies,Project > List,"{
  ""familyIds"": [
    ""910130168""
  ],
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""familyIds"", ""listIds"", ""listType"", ""projectId""]",createProject,createAsset,addFontListFamilies,deactivateFamilies,,createProject → createAsset → addFontListFamilies → deactivateFamilies
deactivateStyle,Discovery/Browse (global),"{
  ""styleIds"": [
    ""920374778""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""styleIds""]",deactivateStyle,,,,,deactivateStyle
deactivateStyle,List (FONTLIST),"{
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""styleIds"": [
    ""920374778""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""styleIds""]",createAsset,addFontListStyles,deactivateStyle,,,createAsset → addFontListStyles → deactivateStyle
deactivateStyle,Favourite,"{
  ""listType"": ""FAVORITE"",
  ""styleIds"": [
    ""920374778""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listType"", ""styleIds""]",addFavoriteStyles,deactivateStyle,,,,addFavoriteStyles → deactivateStyle
deactivateStyle,Project,"{
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""styleIds"": [
    ""920374778""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""projectId"", ""styleIds""]",createProject,addFontProjectStyles,deactivateStyle,,,createProject → addFontProjectStyles → deactivateStyle
deactivateStyle,Project > List,"{
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""styleIds"": [
    ""920374778""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""projectId"", ""styleIds""]",createProject,createAsset,addFontListStyles,deactivateStyle,,createProject → createAsset → addFontListStyles → deactivateStyle
deactivateVariation,Discovery/Browse (global),"{
  ""md5s"": [
    ""b783215634650cf0a55e0d723123d5e0""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""md5s""]",deactivateVariation,,,,,deactivateVariation
deactivateVariation,List (FONTLIST),"{
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""md5s"": [
    ""b783215634650cf0a55e0d723123d5e0""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""md5s""]",createAsset,addFontListStyles,deactivateVariation,,,createAsset → addFontListStyles → deactivateVariation
deactivateVariation,Favourite,"{
  ""listType"": ""FAVORITE"",
  ""md5s"": [
    ""b783215634650cf0a55e0d723123d5e0""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listType"", ""md5s""]",addFavoriteStyles,deactivateVariation,,,,addFavoriteStyles → deactivateVariation
deactivateVariation,Project,"{
  ""listIds"": [
    ""project_c2a7788f-e731-4f65-8cc6-1db42ff41138""
  ],
  ""listType"": ""FONTPROJECT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""md5s"": [
    ""b783215634650cf0a55e0d723123d5e0""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""md5s"", ""projectId""]",createProject,addFontProjectStyles,deactivateVariation,,,createProject → addFontProjectStyles → deactivateVariation
deactivateVariation,Project > List,"{
  ""listIds"": [
    ""210ad1c8-b742-49e4-9074-4be65d4be610""
  ],
  ""listType"": ""FONTLIST"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""md5s"": [
    ""b783215634650cf0a55e0d723123d5e0""
  ],
  ""deactivationType"": ""PERMANENT""
}","[""deactivationType"", ""listIds"", ""listType"", ""md5s"", ""projectId""]",createProject,createAsset,addFontListStyles,deactivateVariation,,createProject → createAsset → addFontListStyles → deactivateVariation
deleteAllPrivateTags,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteAllPrivateTags,,,,,deleteAllPrivateTags
deleteAssetAttachment,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteAssetAttachment,,,,,deleteAssetAttachment
deleteAssets,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteAssets,,,,,deleteAssets
deleteCompanyLogo,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteCompanyLogo,,,,,deleteCompanyLogo
deleteContracts,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteContracts,,,,,deleteContracts
deleteImportedFonts,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteImportedFonts,,,,,deleteImportedFonts
deletePrivateTags,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deletePrivateTags,,,,,deletePrivateTags
deleteProfiles,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteProfiles,,,,,deleteProfiles
deleteProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,deleteProject,,,,createProject → deleteProject
deleteRoles,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteRoles,,,,,deleteRoles
deleteServiceAccount,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteServiceAccount,,,,,deleteServiceAccount
deleteSsoMappings,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteSsoMappings,,,,,deleteSsoMappings
deleteStyleComment,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),deleteStyleComment,,,,,deleteStyleComment
deleteStyleComment,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,deleteStyleComment,,,,createProject → deleteStyleComment
