Event,TouchPoint,unique_input_json,diff_keys_vs_global,step 1 op,step 2 op,step 3 op,step 4 op,step 5 op,flow
revokeToken,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),revokeToken,,,,,revokeToken
saveDocumentMetadata,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}""
}",documentId,saveDocumentMetadata,,,,,saveDocumentMetadata
setLanguagePreference,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),setLanguagePreference,,,,,setLanguagePreference
sharingInfoForAssets,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),sharingInfoForAssets,,,,,sharingInfoForAssets
submitFontUsageReport,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),submitFontUsageReport,,,,,submitFontUsageReport
submitIntentForProduction,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),submitIntentForProduction,,,,,submitIntentForProduction
suspendServiceAccount,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),suspendServiceAccount,,,,,suspendServiceAccount
syncUnSyncVariations,default,"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),syncUnSyncVariations,,,,,syncUnSyncVariations
unlinkDocumentFromProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,unlinkDocumentFromProject,,,,createProject → unlinkDocumentFromProject
unlinkDocumentFromProject,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",documentId + projectId,unlinkDocumentFromProject,,,,,unlinkDocumentFromProject
unlinkDocumentFromProject,Document > Project,"{
  ""documentId"": ""{{DOCUMENT_ID}}"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",documentId + projectId,unlinkDocumentFromProject,,,,,unlinkDocumentFromProject
unlinkDocumentsFromContract,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}""
}",documentId,unlinkDocumentsFromContract,,,,,unlinkDocumentsFromContract
unlinkStyleFromContract,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),unlinkStyleFromContract,,,,,unlinkStyleFromContract
unpinAsset,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),unpinAsset,,,,,unpinAsset
updateAsset,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateAsset,,,,,updateAsset
updateAssetSharing,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateAssetSharing,,,,,updateAssetSharing
updateAssets,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateAssets,,,,,updateAssets
updateAssetsSharingInfo,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateAssetsSharingInfo,,,,,updateAssetsSharingInfo
updateCompanySsoStatus,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateCompanySsoStatus,,,,,updateCompanySsoStatus
updateContract,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateContract,,,,,updateContract
updateCustomer,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateCustomer,,,,,updateCustomer
updateCustomerSettings,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateCustomerSettings,,,,,updateCustomerSettings
updateFontProjectStyles,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,updateFontProjectStyles,,,,createProject → updateFontProjectStyles
updateFontsForReview,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateFontsForReview,,,,,updateFontsForReview
updatePreference,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updatePreference,,,,,updatePreference
updatePrivateTag,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updatePrivateTag,,,,,updatePrivateTag
updatePrivateTagAssociations,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updatePrivateTagAssociations,,,,,updatePrivateTagAssociations
updateProductionFont,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateProductionFont,,,,,updateProductionFont
updateProfile,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateProfile,,,,,updateProfile
updateRole,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateRole,,,,,updateRole
updateServiceAccount,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateServiceAccount,,,,,updateServiceAccount
updateSessionFiles,Document,"{
  ""documentId"": ""{{DOCUMENT_ID}}""
}",documentId,updateSessionFiles,,,,,updateSessionFiles
updateSsoMapping,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateSsoMapping,,,,,updateSsoMapping
updateStyleComment,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateStyleComment,,,,,updateStyleComment
updateStyleComment,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,updateStyleComment,,,,createProject → updateStyleComment
updateSubToggle,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateSubToggle,,,,,updateSubToggle
updateTeam,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateTeam,,,,,updateTeam
updateUserInvitations,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),updateUserInvitations,,,,,updateUserInvitations
uploadImportedFonts,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),uploadImportedFonts,,,,,uploadImportedFonts
